지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm)
108,서울,2021-01-01,-4.2,-9.8,511,1.6,1447,,,
108,서울,2021-01-02,-5,-8.4,805,-1.4,1346,,,
108,서울,2021-01-03,-5.6,-9.1,536,-2,1238,,,
108,서울,2021-01-04,-3.5,-8.4,656,.3,1535,2.33,,
108,서울,2021-01-05,-5.5,-9.9,2356,-2.1,1,5.42,,
108,서울,2021-01-06,-7.4,-12,702,-1.9,1547,5.33,,
108,서울,2021-01-07,-14.5,-16.5,802,-8.4,1,,,
108,서울,2021-01-08,-14.9,-18.6,812,-10.7,1450,,,
108,서울,2021-01-09,-12.2,-16.6,614,-7.5,1602,,,
108,서울,2021-01-10,-7.7,-12.8,538,-2.7,1406,,,
108,서울,2021-01-11,-6.7,-9.6,502,-4,1452,,,
108,서울,2021-01-12,-3.9,-9.3,657,-.5,1417,7.5,,
108,서울,2021-01-13,2,-3,430,8.3,1458,.67,,
108,서울,2021-01-14,1.7,-3.6,749,7,1506,,,
108,서울,2021-01-15,4.5,-.7,2357,9.9,1303,.42,,
108,서울,2021-01-16,-4.9,-8.7,2349,-.7,1,,,
108,서울,2021-01-17,-5.5,-10.8,800,-1.3,1516,5.25,,
108,서울,2021-01-18,-3.8,-9.1,2356,.2,1325,5.42,,
108,서울,2021-01-19,-6.3,-11.6,753,-.2,1537,,,
108,서울,2021-01-20,-.1,-6.6,513,7.1,1559,,,
108,서울,2021-01-21,4.5,2.5,1,7,1337,10.25,,
108,서울,2021-01-22,5.5,4.8,5,6.6,1356,2,,
108,서울,2021-01-23,7.6,4.8,12,12.2,1504,,,
108,서울,2021-01-24,7.3,2.4,758,13.9,1510,,,
108,서울,2021-01-25,7.9,3,542,13.9,1527,,,
108,서울,2021-01-26,5.3,1.7,2357,7.4,1,6.92,,
108,서울,2021-01-27,1.7,-1.8,759,6.5,1400,,,
108,서울,2021-01-28,-2.6,-9.7,2352,1.4,940,1.33,,
108,서울,2021-01-29,-8.8,-11.6,556,-4.9,1556,,,
108,서울,2021-01-30,-1.6,-8.1,1,5.2,1614,4.5,,
108,서울,2021-01-31,3.2,-3.8,542,8.7,1517,,,
108,서울,2021-02-01,5,-2.3,2357,9.5,1320,.83,,
108,서울,2021-02-02,-5.6,-8.2,756,-2.4,1,3.83,,
108,서울,2021-02-03,-3.2,-9.4,335,1.4,1337,6.5,,
108,서울,2021-02-04,-3.6,-7.4,732,.7,1554,1.33,,
108,서울,2021-02-05,1.4,-4.4,1,6.7,1532,,,
